appnavigator.s_0: RU: Проекты | EN: Projects
registervolunteer.s_12: RU: Не удалось отменить регистрацию | EN: Failed to unregister
registervolunteer.s_13: RU: Подтвердите email | EN: Confirm your email
registervolunteer.s_14: RU: Подтвердите email | EN: Confirm your email
registervolunteer.s_15: RU: Ввести код подтверждения | EN: Enter confirmation code
registervolunteer.s_16: RU: Отменить регистрацию | EN: Cancel registration
registervolunteer.s_17: RU: Регистрация волонтёра | EN: Volunteer registration
registervolunteer.s_18: RU: ФИО | EN: Full name
registervolunteer.s_19: RU: ФИО | EN: Full name
registervolunteer.s_20: RU: Номер телефона | EN: Phone number
registervolunteer.s_21: RU: Пароль | EN: Password
registervolunteer.s_22: RU: Пароль | EN: Password
registervolunteer.s_23: RU: Подтверждение пароля | EN: Password confirmation
registervolunteer.s_24: RU: Подтверждение пароля | EN: Password confirmation
registervolunteer.s_25: RU: Зарегистрироваться | EN: Register
registervolunteer.s_26: RU: Уже есть аккаунт? | EN: Already have an account?
registervolunteer.s_27: RU: Уже есть аккаунт? | EN: Already have an account?
permissionsstatus.s_0: RU: Уведомления | EN: Notifications
permissionsstatus.s_1: RU: Уведомления | EN: Notifications
permissionsstatus.s_2: RU: Геолокация | EN: Geolocation
permissionsstatus.s_3: RU: Геолокация | EN: Geolocation
permissionsstatus.s_4: RU: Интернет | EN: Internet
permissionsstatus.s_5: RU: Интернет | EN: Internet
permissionsstatus.s_6: RU: Всё готово! | EN: Everything is ready!
permissionsstatus.s_7: RU: Всё готово! | EN: Everything is ready!
permissionsstatus.s_8: RU: \n | EN: \n
permissionsstatus.s_9: RU: Разрешения | EN: Permissions
permissionsstatus.s_10: RU: Требуются разрешения | EN: Permissions required
permissionsstatus.s_11: RU: Требуются разрешения | EN: Permissions required
permissionsstatus.s_12: RU: \n | EN: \n
permissionsstatus.s_14: RU: Проверка... | EN: Checking...
permissionsstatus.s_15: RU: Проверить снова | EN: Check again
aboutapp.s_0: RU: Версия {APP_VERSION} | EN: Version {APP_VERSION}
aboutapp.s_1: RU: Версия {APP_VERSION} | EN: Version {APP_VERSION}
aboutapp.s_2: RU: Что доступно в приложении | EN: What's available in the app
aboutapp.s_3: RU: Участие в проектах и выполнение задач | EN: Participation in projects and completing tasks
aboutapp.s_4: RU: Загрузка фотоотчётов и отслеживание статусов | EN: Uploading photo reports and tracking statuses
aboutapp.s_5: RU: Просмотр баллов, часов и личной активности | EN: View points, hours and personal activity
aboutapp.s_6: RU: Полезные ссылки | EN: Useful links
aboutapp.s_7: RU: Веб-портал | EN: Web portal
aboutapp.s_8: RU: Политика конфиденциальности | EN: Privacy Policy
aboutapp.s_9: RU: Помощь и поддержка | EN: Help and support
achievements.s_0: RU: Январь | EN: January
achievements.s_1: RU: Февраль | EN: February
achievements.s_2: RU: Март | EN: March
achievements.s_3: RU: Апрель | EN: April
achievements.s_4: RU: Май | EN: May
achievements.s_5: RU: Июнь | EN: June
achievements.s_6: RU: Июль | EN: July
achievements.s_7: RU: Август | EN: August
achievements.s_8: RU: Сентябрь | EN: September
achievements.s_9: RU: Октябрь | EN: October
achievements.s_10: RU: Ноябрь | EN: November
achievements.s_11: RU: Декабрь | EN: December
achievements.s_12: RU: Январь | EN: January
achievements.s_13: RU: Февраль | EN: February
achievements.s_14: RU: Март | EN: March
achievements.s_15: RU: Апрель | EN: April
achievements.s_16: RU: Май | EN: May
achievements.s_17: RU: Июнь | EN: June
achievements.s_18: RU: Июль | EN: July
achievements.s_19: RU: Август | EN: August
achievements.s_20: RU: Сентябрь | EN: September
achievements.s_21: RU: Октябрь | EN: October
achievements.s_22: RU: Ноябрь | EN: November
achievements.s_23: RU: Декабрь | EN: December
achievements.s_24: RU: Январь | EN: January
achievements.s_25: RU: Февраль | EN: February
achievements.s_26: RU: Март | EN: March
achievements.s_27: RU: Апрель | EN: April
achievements.s_28: RU: Май | EN: May
achievements.s_29: RU: Июнь | EN: June
achievements.s_30: RU: Июль | EN: July
achievements.s_31: RU: Янв. | EN: Jan.
achievements.s_32: RU: Фев. | EN: Feb.
achievements.s_33: RU: Мар | EN: Mar
achievements.s_34: RU: Апр | EN: Apr
achievements.s_35: RU: Май | EN: May
achievements.s_36: RU: Июн | EN: Jun
achievements.s_37: RU: Июл. | EN: Jul.
achievements.s_38: RU: Воскресенье | EN: Sunday
achievements.s_39: RU: Бронза | EN: Bronze
achievements.s_40: RU: Бронза | EN: Bronze
achievements.s_41: RU: Бронза | EN: Bronze
achievements.s_42: RU: Серебро | EN: Silver
achievements.s_43: RU: Янв | EN: Jan
achievements.s_44: RU: Фев | EN: Feb
achievements.s_45: RU: Мар | EN: Mar
achievements.s_46: RU: Апр | EN: Apr
achievements.s_47: RU: Май | EN: May
achievements.s_48: RU: Июн | EN: Jun
achievements.s_49: RU: Июл | EN: Jul
achievements.s_50: RU: Авг | EN: Aug
achievements.s_51: RU: Сен | EN: Sep
achievements.s_52: RU: Окт | EN: Oct
achievements.s_53: RU: Ноя | EN: Nov
achievements.s_54: RU: Дек | EN: Dec
achievements.s_55: RU: Выполнено | EN: Done
achievements.s_56: RU: Достижения | EN: Achievements
achievements.s_57: RU: Достижения | EN: Achievements
achievements.s_58: RU: ОБЩИЙ ПРОГРЕСС | EN: OVERALL PROGRESS
achievements.s_59: RU: Уровень {stats.level} | EN: Level {stats.level}
achievements.s_62: RU: ИЗ {stats.total_achievements} | EN: FROM {stats.total_achievements}
achievements.s_63: RU: Активность | EN: Activity
achievements.s_64: RU: За последние 6 месяцев | EN: Over the past 6 months
achievements.s_65: RU: Получено очков | EN: Points received
achievements.s_66: RU: Ваш вклад в общество | EN: Your contribution to society
achievements.s_67: RU: набрано очков | EN: points scored
achievements.s_68: RU: задач решено | EN: problems solved
achievements.s_69: RU: Все награды | EN: All awards
achievements.s_73: RU: Ничего не найдено | EN: Nothing found
achievements.s_74: RU: Выбор периода | EN: Select period
achievements.s_75: RU: Начало: | EN: Start:
achievements.s_76: RU: Конец: | EN: End:
achievements.s_77: RU: Отмена | EN: Cancel
achievements.s_78: RU: Сбросить | EN: Reset
achievements.s_79: RU: Применить | EN: Apply
achievements.s_80: RU: Активность | EN: Activity
achievements.s_81: RU: \n\n | EN: \n\n
achievements.s_82: RU: \n\n | EN: \n\n
achievements.s_83: RU: 100% | EN: 100%
calendareventdetail.s_0: RU: Старт проекта | EN: Start of the project
calendareventdetail.s_1: RU: Завершение проекта | EN: Project End
calendareventdetail.s_2: RU: Задача | EN: Task
calendareventdetail.s_3: RU: Завершено | EN: Completed
calendareventdetail.s_4: RU: Одобрено | EN: Approved
calendareventdetail.s_5: RU: На проверке | EN: Under review
calendareventdetail.s_6: RU: На доработке | EN: Needs Revision
calendareventdetail.s_7: RU: Отклонено | EN: Rejected
calendareventdetail.s_8: RU: В работе | EN: In progress
calendareventdetail.s_9: RU: В архиве | EN: In the archive
calendareventdetail.s_10: RU: Открыта | EN: Open
calendareventdetail.s_11: RU: Весь день | EN: All day
calendareventdetail.s_12: RU: Время уточняется | EN: Time TBD
calendareventdetail.s_13: RU: Локация уточняется | EN: Location TBD
calendareventdetail.s_14: RU: Ошибка | EN: Error
calendareventdetail.s_15: RU: Не удалось открыть меню отправки. | EN: Failed to open send menu.
calendareventdetail.s_16: RU: Внимание | EN: Attention
calendareventdetail.s_17: RU: Для этого события пока не указана карта. | EN: There is no map listed for this event yet.
calendareventdetail.s_18: RU: Не удалось обновить напоминание. | EN: Failed to update reminder.
calendareventdetail.s_19: RU: Не удалось обновить напоминание. | EN: Failed to update reminder.
calendareventdetail.s_20: RU: Детали события | EN: Event Details
calendareventdetail.s_21: RU: Дата | EN: Date
calendareventdetail.s_22: RU: Время | EN: Time
calendareventdetail.s_23: RU: Локация | EN: Location
calendareventdetail.s_24: RU: Открыть карту | EN: Open Map
calendareventdetail.s_25: RU: Статус | EN: Status
calendareventdetail.s_26: RU: Описание | EN: Description
calendareventdetail.s_27: RU: Описание | EN: Description
calendareventdetail.s_28: RU: Участники | EN: Participants
calendareventdetail.s_30: RU: Список участников пока не заполнен. | EN: Participant list is empty.
calendareventdetail.s_31: RU: Напомнить за 30 минут | EN: Remind 30 mins before
calendareventdetail.s_32: RU: Локальное уведомление уже запланировано. | EN: Reminder already set.
calendareventdetail.s_33: RU: Локальное уведомление уже запланировано. | EN: Reminder already set.
calendareventdetail.s_34: RU: Связанный проект | EN: Related project
calendareventdetail.s_35: RU: Связанный проект | EN: Related project
calendareventdetail.s_36: RU: Открыть задачу | EN: Open Task
calendar.s_0: RU: ../../theme | EN: ../../theme
calendar.s_1: RU: ВС | EN: SUN
calendar.s_2: RU: ПН | EN: MON
calendar.s_3: RU: ВТ | EN: TUE
calendar.s_4: RU: СР | EN: WED
calendar.s_5: RU: ЧТ | EN: THU
calendar.s_6: RU: ПТ | EN: FRI
calendar.s_7: RU: Старт проекта | EN: Start of the project
calendar.s_8: RU: Завершение проекта | EN: Completion of the project
calendar.s_9: RU: Задача | EN: Task
calendar.s_10: RU: Завершено | EN: Completed
calendar.s_11: RU: Одобрено | EN: Approved
calendar.s_12: RU: На проверке | EN: Under review
calendar.s_13: RU: На доработке | EN: Under revision
calendar.s_14: RU: Отклонено | EN: Rejected
calendar.s_15: RU: В работе | EN: In progress
calendar.s_16: RU: Открыта | EN: Open
calendar.s_17: RU: В архиве | EN: In the archive
calendar.s_18: RU: Весь день | EN: All day
calendar.s_19: RU: Время уточняется | EN: Time TBD
calendar.s_20: RU: Локация уточняется | EN: Location TBD
calendar.s_21: RU: Ошибка загрузки календаря: | EN: Error loading calendar:
calendar.s_22: RU: Загружаем календарь задач... | EN: Loading the task calendar...
calendar.s_23: RU: Календарь волонтёра | EN: Volunteer calendar
calendar.s_24: RU: Календарь волонтёра | EN: Volunteer calendar
calendar.s_25: RU: События на {formatSelectedDateTitle(selectedDateKey)} | EN: Events on {formatSelectedDateTitle(selectedDateKey)}
calendar.s_26: RU: На выбранный день событий нет | EN: There are no events on the selected day
calendar.s_27: RU: На выбранный день событий нет | EN: There are no events on the selected day
changepassword.s_0: RU: Введите текущий пароль | EN: Enter your current password
changepassword.s_1: RU: Введите новый пароль | EN: Enter new password
changepassword.s_2: RU: Введите новый пароль | EN: Enter new password
changepassword.s_3: RU: Повторите новый пароль | EN: Repeat new password
changepassword.s_4: RU: Повторите новый пароль | EN: Repeat new password
changepassword.s_5: RU: Новый пароль должен отличаться от текущего | EN: The new password must be different from the current one
changepassword.s_6: RU: Успешно | EN: Successfully
changepassword.s_7: RU: Пароль успешно изменен. | EN: The password has been successfully changed.
changepassword.s_8: RU: Не удалось изменить пароль. | EN: Failed to change password.
changepassword.s_9: RU: Изменить пароль | EN: Change password
changepassword.s_11: RU: Текущий пароль | EN: Current Password
changepassword.s_12: RU: Текущий пароль | EN: Current Password
changepassword.s_13: RU: Новый пароль | EN: New Password
changepassword.s_14: RU: Новый пароль | EN: New Password
changepassword.s_15: RU: Повторите новый пароль | EN: Repeat new password
changepassword.s_16: RU: Повторите новый пароль | EN: Repeat new password
changepassword.s_17: RU: Сохранить новый пароль | EN: Save new password
chatdetail.s_0: RU: Вложение | EN: Attachment
chatdetail.s_1: RU: Вложение | EN: Attachment
chatdetail.s_2: RU: Этот чат больше недоступен, потому что проект уже не активен. | EN: This chat is no longer available because the project is no longer active.
chatdetail.s_3: RU: Не удалось загрузить сообщения. Попробуйте ещё раз. | EN: Failed to load messages. Try again.
chatdetail.s_4: RU: Ошибка | EN: Error
chatdetail.s_5: RU: Не удалось отправить сообщение. Попробуйте ещё раз. | EN: Failed to send message. Try again.
chatdetail.s_6: RU: Нет доступа | EN: No access
chatdetail.s_7: RU: Разрешите доступ к галерее, чтобы выбрать фото. | EN: Allow access to the gallery to select a photo.
chatdetail.s_8: RU: Image picker error: | EN: Image picker error:
chatdetail.s_9: RU: Ошибка | EN: Error
chatdetail.s_10: RU: Активный проектный чат | EN: Active project chat
chatdetail.s_11: RU: Активный проектный чат | EN: Active project chat
chatdetail.s_12: RU: Активный проектный чат | EN: Active project chat
chatdetail.s_13: RU: Только фото | EN: Photo only
chatdetail.s_14: RU: Только фото | EN: Photo only
chatdetail.s_15: RU: Только фото | EN: Photo only
chatdetail.s_16: RU: Чат недоступен | EN: Chat unavailable
chatdetail.s_17: RU: Назад | EN: Back
chatdetail.s_19: RU: Сообщение... | EN: Message...
chatdetail.s_20: RU: Фильтр сообщений | EN: Message filter
chatdetail.s_21: RU: Все | EN: All
chatdetail.s_22: RU: Фото | EN: Photo
chatdetail.s_23: RU: Мои | EN: My
chatdetail.s_24: RU: Обновить чат | EN: Refresh chat
chatdetail.s_25: RU: Отметить как прочитанное | EN: Mark as read
chatdetail.s_26: RU: Сбросить фильтр | EN: Reset filter
chatdetail.s_27: RU: Прикрепить | EN: Attach
chatdetail.s_28: RU: Выбрать фото | EN: Select photo
chats.s_0: RU: Вчера | EN: Yesterday
chats.s_1: RU: Сообщений пока нет | EN: No messages yet
chats.s_2: RU: Удалить | EN: Delete
chats.s_3: RU: Ничего не найдено | EN: Nothing found
chats.s_4: RU: Пока нет чатов | EN: No chats yet
chats.s_5: RU: Попробуйте изменить поиск или снять фильтры. | EN: Try changing your search or removing filters.
chats.s_6: RU: Попробуйте изменить поиск или снять фильтры. | EN: Try changing your search or removing filters.
chats.s_7: RU: Сбросить фильтры | EN: Reset filters
chats.s_8: RU: Найти проекты | EN: Find projects
chats.s_9: RU: Сообщения | EN: Messages
chats.s_10: RU: Поиск чатов... | EN: Search chats...
chats.s_11: RU: Все | EN: All
chats.s_12: RU: Проекты | EN: Projects
chats.s_13: RU: Непрочитанные | EN: Unread
chats.s_14: RU: Обновить | EN: Update
chats.s_15: RU: Показать все чаты | EN: Show all chats
chats.s_16: RU: Только непрочитанные | EN: Only unread
chats.s_17: RU: Сбросить фильтры | EN: Reset filters
dashboard.s_0: RU: Пользователь | EN: User
dashboard.s_1: RU: Добро пожаловать! | EN: Welcome!
dashboard.s_2: RU: Добро пожаловать! | EN: Welcome!
dashboard.s_3: RU: Trust Factor | EN: Trust Factor
dashboard.s_4: RU: Ваша статистика | EN: Your statistics
dashboard.s_5: RU: Ваша статистика | EN: Your statistics
dashboard.s_6: RU: Поиск и фильтры | EN: Search and filters
dashboard.s_7: RU: Поиск и фильтры | EN: Search and filters
dashboard.s_8: RU: Недостаточно Trust Factor | EN: Insufficient Trust Factor
dashboard.s_9: RU: Недостаточно Trust Factor | EN: Insufficient Trust Factor
dashboard.s_10: RU: Не удалось присоединиться к проекту | EN: Failed to join the project
dashboard.s_11: RU: Недостаточно Trust Factor | EN: Insufficient Trust Factor
dashboard.s_12: RU: Ошибка | EN: Error
dashboard.s_13: RU: Ошибка | EN: Error
dashboard.s_14: RU: Укажите причину выхода из проекта | EN: Specify the reason for leaving the project
dashboard.s_15: RU: Не удалось покинуть проект | EN: Failed to leave project
dashboard.s_16: RU: Не удалось покинуть проект | EN: Failed to leave project
dashboard.s_17: RU: проекты | EN: projects
dashboard.s_18: RU: статистика | EN: statistics
dashboard.s_19: RU: рекомендации | EN: recommendations
dashboard.s_20: RU: Ближайшая задача | EN: Nearest Task
dashboard.s_21: RU: Все задачи | EN: All tasks
dashboard.s_22: RU: Задача без названия | EN: Untitled task
dashboard.s_23: RU: Проект не указан | EN: Project not specified
dashboard.s_24: RU: Срок не указан | EN: No deadline specified
dashboard.s_25: RU: Сегодня | EN: Today
dashboard.s_26: RU: На неделе | EN: During the week
dashboard.s_27: RU: В этом месяце | EN: This month
dashboard.s_28: RU: Очистить все | EN: Clear all
dashboard.s_34: RU: Избранное | EN: Favorites
dashboard.s_35: RU: Проекты для вас | EN: Projects for you
dashboard.s_38: RU: Локация | EN: Location
dashboard.s_39: RU: Предстоящие возможности | EN: Upcoming Features
dashboard.s_40: RU: проект | EN: project
dashboard.s_41: RU: проекта | EN: project
dashboard.s_42: RU: проектов | EN: projects
dashboard.s_43: RU: 1 && filteredProjects.length | EN: 1 && filteredProjects.length
dashboard.s_44: RU: Проектов пока нет | EN: No projects yet
dashboard.s_45: RU: Проектов пока нет | EN: No projects yet
dashboard.s_46: RU: Все проекты загружены | EN: All projects are loaded
dashboard.s_47: RU: проекты | EN: projects
dashboard.s_48: RU: проекты | EN: projects
dashboard.s_49: RU: статистика | EN: statistics
dashboard.s_50: RU: Фильтры | EN: Filters
dashboard.s_51: RU: Сортировка | EN: Sorting
dashboard.s_52: RU: Новые | EN: New
dashboard.s_53: RU: Новые | EN: New
dashboard.s_54: RU: Новые | EN: New
dashboard.s_55: RU: Популярные | EN: Popular
dashboard.s_56: RU: Тип проекта | EN: Project type
dashboard.s_57: RU: Все | EN: All
dashboard.s_58: RU: Все | EN: All
dashboard.s_59: RU: Все | EN: All
dashboard.s_60: RU: Социальная помощь | EN: Social assistance
dashboard.s_61: RU: Дата начала | EN: Start Date
dashboard.s_62: RU: Все | EN: All
dashboard.s_63: RU: Все | EN: All
dashboard.s_64: RU: Все | EN: All
dashboard.s_65: RU: Сегодня | EN: Today
dashboard.s_66: RU: Теги | EN: Tags
dashboard.s_67: RU: Сбросить | EN: Reset
dashboard.s_68: RU: Применить | EN: Apply
dashboard.s_70: RU: Trust Factor (TF) | EN: Trust Factor (TF)
dashboard.s_71: RU: Максимум: 30 баллов. | EN: Maximum: 30 points.
dashboard.s_72: RU: При TF = 0 нельзя вступать в проекты. | EN: When TF = 0, you cannot join projects.
dashboard.s_73: RU: + Начисляются баллы | EN: + Points are awarded
dashboard.s_74: RU: Оценка фотоотчёта 5 ⭐ | EN: Photo report rating 5 ⭐
dashboard.s_75: RU: Оценка фотоотчёта 4 ⭐ | EN: Photo report rating 4 ⭐
dashboard.s_76: RU: Оценка фотоотчёта 3 ⭐ | EN: Photo report rating 3 ⭐
dashboard.s_77: RU: — Снимаются баллы | EN: — Points are deducted
dashboard.s_78: RU: Выход из проекта | EN: Exit from the project
dashboard.s_79: RU: Оценка фотоотчёта 1–2 ⭐ | EN: Photo report rating 1–2 ⭐
dashboard.s_80: RU: Отклонение задачи | EN: Rejection of a task
dashboard.s_82: RU: Присоединиться к проекту? | EN: Join this project?
dashboard.s_83: RU: Локация не указана | EN: Location not specified
dashboard.s_86: RU: Отмена | EN: Cancel
dashboard.s_87: RU: Присоединиться | EN: Join
editprofile.s_0: RU: Введите имя и фамилию | EN: Enter your first and last name
editprofile.s_1: RU: Введите номер телефона | EN: Enter your phone number
editprofile.s_2: RU: Успешно | EN: Successfully
editprofile.s_3: RU: Профиль обновлен. | EN: Profile updated.
editprofile.s_4: RU: Редактировать профиль | EN: Edit profile
editprofile.s_6: RU: Имя и фамилия | EN: First and last name
editprofile.s_7: RU: Имя и фамилия | EN: First and last name
editprofile.s_8: RU: Телефон | EN: Telephone
editprofile.s_9: RU: Email нельзя изменить. | EN: Email cannot be changed.
editprofile.s_10: RU: Сохранить изменения | EN: Save changes
help.s_0: RU: help.s_0 | EN: help.s_0
help.s_1: RU: Как начисляются часы и баллы? | EN: How are hours and points awarded?
help.s_2: RU: Как начисляются часы и баллы? | EN: How are hours and points awarded?
help.s_3: RU: Как получить новые достижения? | EN: How to get new achievements?
help.s_4: RU: Как получить новые достижения? | EN: How to get new achievements?
help.s_5: RU: Что такое Trust Factor (TF)? | EN: What is Trust Factor (TF)?
help.s_6: RU: Что такое Trust Factor (TF)? | EN: What is Trust Factor (TF)?
help.s_7: RU: Как отказаться от задачи без потери Trust Factor? | EN: How to abandon a task without losing Trust Factor?
help.s_8: RU: Как отказаться от задачи без потери Trust Factor? | EN: How to abandon a task without losing Trust Factor?
help.s_9: RU: Сколько времени проверяется фотоотчет? | EN: How long does it take to check a photo report?
help.s_10: RU: Сколько времени проверяется фотоотчет? | EN: How long does it take to check a photo report?
help.s_11: RU: Что делать, если мой фотоотчет отклонили? | EN: What should I do if my photo report is rejected?
help.s_12: RU: Что делать, если мой фотоотчет отклонили? | EN: What should I do if my photo report is rejected?
help.s_13: RU: Организатор не отвечает, что делать? | EN: The organizer does not answer, what should I do?
help.s_14: RU: Организатор не отвечает, что делать? | EN: The organizer does not answer, what should I do?
help.s_15: RU: Как удалить аккаунт? | EN: How to delete an account?
help.s_16: RU: Как удалить аккаунт? | EN: How to delete an account?
help.s_17: RU: Помощь | EN: Help
help.s_18: RU: Помощь | EN: Help
help.s_19: RU: Служба поддержки | EN: Support Center
help.s_20: RU: Служба поддержки | EN: Support Center
help.s_21: RU: Написать письмо | EN: Write a letter
help.s_22: RU: Частые вопросы | EN: Frequently asked questions
help.s_23: RU: Политика конфиденциальности | EN: Privacy Policy
myprojects.s_0: RU: Error loading joined projects: | EN: Error loading joined projects:
myprojects.s_1: RU: Error loading joined projects: | EN: Error loading joined projects:
myprojects.s_2: RU: Ошибка | EN: Error
myprojects.s_3: RU: Укажите причину выхода из проекта | EN: Specify the reason for leaving the project
myprojects.s_4: RU: Вы покинули проект. | EN: You left the project.
myprojects.s_5: RU: Внимание | EN: Attention
myprojects.s_6: RU: Успешно | EN: Successfully
myprojects.s_7: RU: Не удалось покинуть проект | EN: Failed to leave project
myprojects.s_8: RU: Не удалось покинуть проект | EN: Failed to leave project
myprojects.s_9: RU: Локация не указана | EN: Location not specified
myprojects.s_12: RU: Участвуете | EN: Are you participating?
myprojects.s_13: RU: Выйти | EN: Log out
myprojects.s_14: RU: Социальная помощь | EN: Social support
myprojects.s_15: RU: Экология | EN: Ecology
myprojects.s_16: RU: Культурные мероприятия | EN: Cultural events
myprojects.s_17: RU: Мои проекты | EN: My projects
myprojects.s_18: RU: Мои проекты | EN: My projects
myprojects.s_19: RU: проект | EN: project
myprojects.s_20: RU: проекта | EN: project
myprojects.s_21: RU: проектов | EN: projects
myprojects.s_22: RU: Нет проектов | EN: No projects
myprojects.s_23: RU: Нет проектов | EN: No projects
myprojects.s_24: RU: \n | EN: \n
myprojects.s_25: RU: Найти проект | EN: Find a project
notifications.s_0: RU: задачу | EN: task
notifications.s_1: RU: задачу | EN: task
notifications.s_2: RU: задачу | EN: task
notifications.s_3: RU: проект | EN: project
notifications.s_4: RU: проект | EN: project
notifications.s_5: RU: покинули | EN: left
notifications.s_6: RU: покинули | EN: left
notifications.s_7: RU: присоединились | EN: joined
notifications.s_8: RU: Уведомление | EN: Notification
notifications.s_9: RU: Уведомления | EN: Notifications
notifications.s_10: RU: Уведомления | EN: Notifications
notifications.s_13: RU: Нет уведомлений | EN: No notifications
notifications.s_14: RU: У вас нет непрочитанных уведомлений. | EN: You have no unread notifications.
notifications.s_15: RU: У вас нет непрочитанных уведомлений. | EN: You have no unread notifications.
organizerprofile.s_0: RU: Error loading organizer profile: | EN: Error loading organizer profile:
